clip,evaluator,set,relevance,emotion_alignment,subtext,authenticity,preference
audio_1,E1,X,5,5,5,5,Y
audio_1,E1,Y,6,6,5,5,Y
audio_1,E2,X,5,5,4,5,X
audio_1,E2,Y,6,7,5,6,X
audio_1,E3,X,6,6,6,6,X
audio_1,E3,Y,5,6,5,5,X
audio_1,E4,X,4,4,3,4,X
audio_1,E4,Y,4,5,4,4,X
audio_1,E5,X,6,6,5,5,X
audio_1,E5,Y,7,7,7,6,X
audio_2,E1,X,6,5,5,6,X
audio_2,E1,Y,5,6,5,5,X
audio_2,E2,X,4,4,3,3,Y
audio_2,E2,Y,6,7,5,5,Y
audio_2,E3,X,7,7,6,6,Y
audio_2,E3,Y,6,7,5,6,Y
audio_2,E4,X,3,3,3,3,Y
audio_2,E4,Y,4,5,3,4,Y
audio_2,E5,X,4,4,4,4,Y
audio_2,E5,Y,5,6,5,5,Y
audio_3,E1,X,6,5,5,6,X
audio_3,E1,Y,5,6,5,5,X
audio_3,E2,X,3,3,2,2,Y
audio_3,E2,Y,3,3,2,2,Y
audio_3,E3,X,5,5,5,4,Y
audio_3,E3,Y,4,5,3,3,Y
audio_3,E4,X,6,6,5,5,Y
audio_3,E4,Y,5,5,5,5,Y
audio_3,E5,X,5,5,5,4,Y
audio_3,E5,Y,5,6,4,4,Y
audio_4,E1,X,6,5,6,6,X
audio_4,E1,Y,5,6,5,5,X
audio_4,E2,X,4,4,4,3,X
audio_4,E2,Y,5,6,4,5,X
audio_4,E3,X,5,4,4,5,Y
audio_4,E3,Y,6,7,6,5,Y
audio_4,E4,X,6,6,5,6,Y
audio_4,E4,Y,5,5,5,4,Y
audio_4,E5,X,7,6,7,7,Y
audio_4,E5,Y,5,6,4,4,Y
audio_5,E1,X,6,5,5,5,X
audio_5,E1,Y,4,4,4,4,X
audio_5,E2,X,7,7,7,6,Y
audio_5,E2,Y,6,6,6,5,Y
audio_5,E3,X,7,7,7,6,X
audio_5,E3,Y,7,7,6,6,X
audio_5,E4,X,6,7,6,6,Y
audio_5,E4,Y,5,5,4,5,Y
audio_5,E5,X,7,7,7,7,Y
audio_5,E5,Y,7,7,6,7,Y
audio_6,E1,X,6,5,5,6,X
audio_6,E1,Y,5,6,5,5,X
audio_6,E2,X,3,3,2,2,Y
audio_6,E2,Y,5,5,4,5,Y
audio_6,E3,X,5,4,5,5,Y
audio_6,E3,Y,7,7,7,6,Y
audio_6,E4,X,7,7,7,6,Y
audio_6,E4,Y,5,6,4,5,Y
audio_6,E5,X,6,6,5,5,Y
audio_6,E5,Y,5,6,4,5,Y
audio_7,E1,X,4,6,4,4,Y
audio_7,E1,Y,5,5,5,5,Y
audio_7,E2,X,3,4,2,3,X
audio_7,E2,Y,5,5,4,4,X
audio_7,E3,X,5,6,4,5,X
audio_7,E3,Y,6,6,6,5,X
audio_7,E4,X,4,5,4,4,Y
audio_7,E4,Y,4,3,3,3,Y
audio_7,E5,X,5,6,4,4,X
audio_7,E5,Y,5,5,5,4,X
audio_8,E1,X,5,6,5,5,X
audio_8,E1,Y,5,5,5,5,X
audio_8,E2,X,4,4,4,3,Y
audio_8,E2,Y,3,3,2,3,Y
audio_8,E3,X,4,5,3,3,X
audio_8,E3,Y,6,6,5,5,X
audio_8,E4,X,7,7,7,6,Y
audio_8,E4,Y,7,7,6,7,Y
audio_8,E5,X,4,5,3,3,X
audio_8,E5,Y,4,4,4,4,X
audio_9,E1,X,4,6,4,4,Y
audio_9,E1,Y,5,5,5,5,Y
audio_9,E2,X,3,3,3,3,Y
audio_9,E2,Y,5,5,4,5,Y
audio_9,E3,X,3,4,2,3,X
audio_9,E3,Y,3,3,2,2,X
audio_9,E4,X,6,6,6,6,X
audio_9,E4,Y,5,5,4,5,X
audio_9,E5,X,6,7,6,6,Y
audio_9,E5,Y,6,6,6,6,Y
audio_10,E1,X,5,5,5,5,Y
audio_10,E1,Y,6,6,5,6,Y
audio_10,E2,X,4,4,3,4,Y
audio_10,E2,Y,4,5,3,3,Y
audio_10,E3,X,7,7,6,7,Y
audio_10,E3,Y,5,6,4,4,Y
audio_10,E4,X,7,7,7,7,Y
audio_10,E4,Y,7,7,6,7,Y
audio_10,E5,X,6,6,6,5,X
audio_10,E5,Y,7,7,6,7,X
audio_11,E1,X,6,5,6,6,X
audio_11,E1,Y,5,6,5,5,X
audio_11,E2,X,3,3,3,3,X
audio_11,E2,Y,4,5,4,3,X
audio_11,E3,X,6,6,5,6,Y
audio_11,E3,Y,6,7,5,5,Y
audio_11,E4,X,5,5,5,5,Y
audio_11,E4,Y,4,4,4,4,Y
audio_11,E5,X,4,3,3,4,Y
audio_11,E5,Y,6,7,6,5,Y
audio_12,E1,X,6,6,6,6,X
audio_12,E1,Y,5,5,5,5,X
audio_12,E2,X,4,4,4,4,X
audio_12,E2,Y,5,5,5,4,X
audio_12,E3,X,6,6,6,5,Y
audio_12,E3,Y,4,4,3,4,Y
audio_12,E4,X,6,6,5,6,X
audio_12,E4,Y,6,6,5,5,X
audio_12,E5,X,6,7,5,6,X
audio_12,E5,Y,6,6,5,6,X
audio_13,E1,X,6,6,6,6,X
audio_13,E1,Y,5,5,5,5,X
audio_13,E2,X,6,7,6,5,X
audio_13,E2,Y,5,5,4,4,X
audio_13,E3,X,5,6,4,5,Y
audio_13,E3,Y,4,4,4,3,Y
audio_13,E4,X,6,6,6,6,X
audio_13,E4,Y,5,5,4,5,X
audio_13,E5,X,4,4,3,4,Y
audio_13,E5,Y,6,6,6,6,Y
audio_14,E1,X,4,4,4,4,Y
audio_14,E1,Y,6,5,5,6,Y
audio_14,E2,X,5,5,4,4,Y
